checked_on,cabin,depart_date,return_date,cheapest_price_usd,airline,stops,duration,current_price_signal,booking_url
2026-09-03,business,2026-11-21,2026-12-22,6944,"Qatar Airways, IndiGo",1,21 hr 25 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-11-24,2026-12-25,6460,Emirates,1,21 hr 15 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-11-27,2026-12-28,6659,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-11-30,2026-12-31,6730,Cathay Pacific,1,36 hr 25 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-12-03,2027-01-03,7679,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-12-06,2027-01-06,5637,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-12-09,2027-01-09,7929,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-12-12,2027-01-12,6980,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,business,2026-12-15,2027-01-15,6980,Cathay Pacific,1,36 hr 25 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-11-15,2026-12-16,2055,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-11-18,2026-12-19,2560,"Alaska, British Airways",2,24 hr 47 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-11-21,2026-12-22,2543,"American, British Airways",2,26 hr 23 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-11-24,2026-12-25,2370,"American, British Airways",2,25 hr 48 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-11-27,2026-12-28,2532,Singapore Airlines,1,24 hr 20 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-11-30,2026-12-31,3180,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-12-03,2027-01-03,3821,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-12-06,2027-01-06,3199,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-12-09,2027-01-09,3199,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-12-12,2027-01-12,3391,Cathay Pacific,1,36 hr 25 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-03,premium-economy,2026-12-15,2027-01-15,3438,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,business,2026-11-15,2026-12-16,5537,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-11-18,2026-12-19,6723,British Airways,1,22 hr 30 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-11-21,2026-12-22,6944,"Qatar Airways, IndiGo",1,21 hr 25 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-11-24,2026-12-25,6460,Emirates,1,21 hr 15 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-11-27,2026-12-28,6659,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-12-03,2027-01-03,6730,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-12-06,2027-01-06,5637,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-12-09,2027-01-09,7929,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-12-12,2027-01-12,7188,"JAL, IndiGo",2,30 hr 15 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,business,2026-12-15,2027-01-15,7460,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-11-15,2026-12-16,2425,"Alaska, British Airways",2,25 hr 8 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-11-18,2026-12-19,2560,"Alaska, British Airways",2,24 hr 47 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-11-21,2026-12-22,2543,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-11-24,2026-12-25,2370,"American, British Airways",2,25 hr 48 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-11-30,2026-12-31,3208,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-12-03,2027-01-03,4586,"China Airlines, Malaysia Airlines",2,34 hr 10 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-12-06,2027-01-06,3199,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-12-09,2027-01-09,3199,Cathay Pacific,1,36 hr 25 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-12-12,2027-01-12,3391,Cathay Pacific,1,36 hr 25 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-04,premium-economy,2026-12-15,2027-01-15,3438,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,business,2026-11-15,2026-12-16,5537,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-11-18,2026-12-19,5637,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-11-21,2026-12-22,6847,"Qatar Airways, IndiGo",1,21 hr 25 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-11-24,2026-12-25,4588,Cathay Pacific,1,23 hr 55 min,low,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-11-27,2026-12-28,5537,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-11-30,2026-12-31,7702,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-12-03,2027-01-03,6730,,Unknown,,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-12-06,2027-01-06,5637,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-12-09,2027-01-09,6486,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-12-12,2027-01-12,5537,Cathay Pacific,1,23 hr 55 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,business,2026-12-15,2027-01-15,7460,"Alaska, Emirates",2,27 hr 40 min,typical,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIA5gBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-11-15,2026-12-16,2425,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-11-18,2026-12-19,2665,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMThqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTE5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-11-21,2026-12-22,2543,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjFqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTIyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-11-24,2026-12-25,2370,,Unknown,,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjRqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-11-27,2026-12-28,2686,Cathay Pacific,1,36 hr 25 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMjdqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTI4agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-11-30,2026-12-31,3286,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTEtMzBqBRIDU0ZPcgUSA0hZRBoaEgoyMDI2LTEyLTMxagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-12-03,2027-01-03,4586,"China Airlines, Malaysia Airlines",2,34 hr 10 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDNqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTAzagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-12-06,2027-01-06,3199,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDZqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA2agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-12-09,2027-01-09,3199,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMDlqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTA5agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-12-12,2027-01-12,2955,"Alaska, British Airways",2,25 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTJqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTEyagUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
2026-09-05,premium-economy,2026-12-15,2027-01-15,3438,Cathay Pacific,1,23 hr 55 min,,https://www.google.com/travel/flights?tfs=GhoSCjIwMjYtMTItMTVqBRIDU0ZPcgUSA0hZRBoaEgoyMDI3LTAxLTE1agUSA0hZRHIFEgNTRk9CAQFIApgBAQ==&hl=en&curr=USD
